title,overview__Firm type,overview__Global HQ,thesis__Funding stages,thesis__Check size,min,max,thesis__Target countries,title_links_website,title_links_linkedin,title_links_twitter,thesis__Funding requirements,overview__Who we are,Contact_email
Global Millennial Capital,VC,"Ascott Hotel Park Place Office Tower, 605 Dubai United Arab Emirates","2. Prototype,3. Early Revenue,4. Scaling",,100000,1000000,USA,https://globalmillennialcapital.com/,,,"We invest in seed and early growth stage Web3 and Fintech founders. #1 VC Fund in the Middle East in 2022 - Agility Awards by Entrepreneur Middle East.

We use AI and Data Science to rethink the traditional investment evaluation model.",,
LongHash Ventures,VC,Singapore,"1. Idea or Patent,2. Prototype,3. Early Revenue",,100000,5000000,"Singapore,USA",https://www.longhash.vc/,,,"We invest in Web3, AI, Infra, Asia, DeFi",,
Majinx Capital,VC,"Ukraine, Kyiv","1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling,5. Growth",,10000,500000,"Ukraine,Belgium,France,UK,UAE,Poland,Turkey,Malta",https://majinx.io,https://www.linkedin.com/company/majinx-capital/,,"We invest in Infrastructure, dApps, DeFi, and other exciting stuff in the Web3 world. ",,
Protocol Labs,Corporate VC,"San Francisco, California 94102, US","2. Prototype,1. Idea or Patent,3. Early Revenue,4. Scaling",,25000,20000000,"USA,China,Singapore,Germany",https://protocol.ai/,https://www.linkedin.com/company/protocollabs/,,We invest in Web3 and new computing platforms,,
Solana Ventures,Corporate VC,"San Francisco, USA","Pre-seed,Seed,Series A",,,,Global,https://solana.ventures,https://www.linkedin.com/company/solana/,https://twitter.com/solana,"Projects building applications, protocols, and infrastructure on the Solana blockchain. Focus on decentralized finance (DeFi), Web3, gaming, and NFTs.",,
Rapid Pioneers,VC,"Nordbahnhof, 10115 Berlin","1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling,5. Growth,6. Pre-IPO",,20000,200000,"Germany,UK,Italy,Spain,France,Singapore,Netherlands,Sweden,Poland,Ukraine,Denmark,Finland,Australia,USA,Canada,South Africa,Austria,Switzerland",https://rapid-pioneers.com/,,,"We invest in fast-growing consumer brands (digital + ecommerce), SaaS, crypto & web3, marketplaces, mobility,  and most importantly: founders with ambition.",,
Tremis Capital,Angel network,"N138, Panchsheek Park, New Delhi","2. Prototype,3. Early Revenue,4. Scaling,5. Growth",,50000,200000,"Nigeria,Brazil,USA,India,Singapore,UAE",https://www.tremis.in/,https://www.linkedin.com/company/tremis-capital/,,"We invest in fintech, web3, SaaS, blockchain, gaming, health tech, enterprise tech, consumer internet, marketplaces with 50k to 5 Mn ARR. We prefer to never lead a round, and co-invest with the lead investor on similar round terms.",,
X Ventures,VC,Oppenhoffallee 143 52066 Aachen,"1. Idea or Patent,2. Prototype,3. Early Revenue",,100000,500000,USA,https://xventures.de,https://www.linkedin.com/company/xventuresgroup/,,We invest in web3,,
zbs capital,VC,"Kyiv, Ukraine"," Pre-seed , Seed  ",,50000,250000,Global,https://www.zbs.capital/,https://www.linkedin.com/company/zbs-capital/,https://twitter.com/ZbsCapital,"Focus on blockchain/web3 startups with a strong team, a unique and scalable idea, and a detailed development plan.",,
NGC Ventures,VC,"Singapore, Singapore"," Pre-seed , Seed , Series A   ",,,,Global,https://ngc.fund/,,https://twitter.com/ngc_ventures,,,
Morningstar Ventures,VC,"Dubai, UAE"," Seed , ",,50000,1000000,Global,https://morningstar.ventures,https://www.linkedin.com/company/morningstar-ventures/,https://twitter.com/Morningstar_vc,"Invests in early-stage teams in the crypto space, with a focus on utility-driven protocols, DeFi, and Web3-enabled Metaverse / NFT projects.",,
KuCoin Ventures,Corporate VC,"Victoria, Seychelles"," Pre-seed , Seed",,,,Global,https://www.kucoin.com/kucoin-ventures,,https://twitter.com/KuCoinVentures,"Investment focus on Web3.0 infrastructure, DeFi, GameFi, NFT, and Metaverse projects. The firm seeks to support projects that contribute to the development of the blockchain and crypto ecosystem.",,
Good Games Guild,VC,"Jakarta, Indonesia"," Pre-seed , Seed ",,,,Global,https://goodgamesguild.com/,https://www.linkedin.com/company/good-games-guild/,https://twitter.com/goodgamesguild,"Invests in blockchain-based/Web3 games, play-to-earn (P2E) projects, and metaverse-related companies. Focus on projects with strong utility and community-building potential.",,
Kyros Ventures,VC,"Ho Chi Minh City, Vietnam"," Pre-seed , Seed  ",,,,Southeast Asia,https://kyros.ventures/,,https://twitter.com/KyrosVentures,"Focuses on early-stage, blockchain-based Web3 projects, particularly within the Southeast Asian market. They look for strong founding teams with innovative technology and a clear vision.",,
Avocado DAO,VC,"Singapore, Singapore"," Pre-seed , Seed , Series A  ",,,,Global,,https://www.linkedin.com/company/avocadodao/,,"Focus on early-stage Web3, GameFi, and Play-to-Earn (P2E) blockchain gaming projects.",,
GenBlock Capital,VC,"San Francisco, USA"," Pre-seed , Seed  ",,,,Global,https://genblock.capital/,https://www.linkedin.com/company/genblock-capital/,https://twitter.com/GenblockCapital,,,
Spark Digital Capital,VC,"New York, USA"," Pre-seed , Seed ",,,,Global,https://sparkdigitalcap.org/,https://www.linkedin.com/company/spark-digital-capital/,,"Investment focus is on blockchain, cryptocurrency, and Web3 technology projects with strong technical fundamentals and disruptive potential.",,
Signum Capital,VC,"Singapore, Singapore", Seed,,,,Global,https://www.signum.capital,,https://twitter.com/signum_capital,Focus on blockchain-enabled companies and distributed ledger technologies.,,
Gabby Dizon,VC,"Taipei, Taiwan"," Pre-seed , Seed ",,,,"Global, Asia",,https://www.linkedin.com/company/ivcrypto/,https://twitter.com/ivcryptofund,"Focus on crypto and Web3 projects, including GameFi, DeFi, and Web3 infrastructure. Seeks to back founders building game-changing projects in the crypto industry.",,
Basics Capital,VC,," Pre-seed , Seed  ",,250000,750000,"US,Canada",https://basics.capital/,https://www.linkedin.com/company/basics-capital/,https://twitter.com/BasicsCapital," Capital-efficient software businesses , Initial signs of product-market-fit , Initial revenue  ",,
Master Ventures,VC,"Dubai, UAE"," Seed , Series A  ",,,,Global,https://mvglobal.io/,https://www.linkedin.com/company/masterventures/,https://twitter.com/master_ventures,,,
Genesis Block Ventures,VC,"Hong Kong, Hong Kong"," Pre-seed , Seed ",,,,Global,https://www.gbv.capital,https://www.linkedin.com/company/genesis-block-ventures/,,"Invests exclusively in blockchain, decentralized finance (DeFi), and digital asset-related projects. Focuses on companies with strong technical teams, innovative token economics, and potential for high-impact growth within the crypto ecosystem.",,
Foresight Ventures,VC,"London, United Kingdom",,,1000000,10000000,United Kingdom,https://www.foresight.group/,https://www.linkedin.com/company/foresight-group/,https://twitter.com/ForesightGroup,"Investment in profitable, UK-based SMEs with strong management teams operating in growth markets.",,
DAO Maker,VC,"Prague, Czech Republic"," Pre-seed , Seed ",,,,Global,https://www.dao-maker.org/,https://www.linkedin.com/company/daomaker/,https://twitter.com/TheDaoMaker,"Focus on blockchain/crypto projects, typically with a native token. Strong emphasis on tokenomics, community building, and go-to-market strategy. Projects apply for a 'Strong Holder Offering' (SHO) on the launchpad.",,
mask network,Corporate VC,"Singapore, Singapore"," Pre-seed , Seed   ",,100000,,Global,,https://www.linkedin.com/company/masknetwork/,,"Focus on decentralized social networks, Web3 infrastructure, gaming, and dApps, particularly those that can integrate with or contribute to the Mask Network ecosystem.",,
Sebastien Borget,Angel Investor,"Paris, France"," Pre-seed , Seed  ",,,,Global,http://www.borget.net,https://www.linkedin.com/in/borget/,https://twitter.com/borgetsebastien,"Invests in startups related to Web3, Gaming, Metaverse, NFTs & DAOs.",,
Republic Capital,VC,"New York, USA"," Pre-seed , Seed , Series A , Series B ,",,,,Global,https://republic.com,https://www.linkedin.com/company/republic-capital/,https://twitter.com/joinrepublic," Strong founding team , Large market opportunity , Demonstrated traction or a unique insight , Defensible technology or business model  ",,
Jump Capital,VC,"Chicago, USA"," Seed , Series A , Series B , Growth  ",,2000000,20000000,Global,https://jumpcap.com,https://www.linkedin.com/company/jump-capital/,https://twitter.com/jumpcapital,"Thesis-driven firm focusing on FinTech, B2B SaaS, IT & Data Infrastructure, and Digital Health. Partners with ambitious founders building companies with capital-efficient models and asymmetric risk/reward profiles.",,
Alliance DAO,VC,"Chicago, United States"," Pre-seed , Seed  ",,250000,250000,Global,,https://www.linkedin.com/company/alliancedao/,https://twitter.com/alliancedao,"Focuses on exceptional technical and product founders building a novel and differentiated product in web3 with a large addressable market. No specific requirements for traction, revenue, or previous funding.",,
Samsung NEXT,Corporate VC,"Mountain View, United States"," Pre-seed , Seed , Series B  ",,,,Global,https://www.samsungnext.com/,,https://twitter.com/samsungnext,"Invests in AI, Blockchain, Fintech, Healthtech, Infrastructure, and Mediatech sectors. Looks for founders with bold vision and deep domain expertise, with a preference for companies who are ready to partner strategically with the Samsung ecosystem.",,
Zentry,Corporate VC,"Bangkok, Thailand"," Pre-seed , Seed , Series A",,,,Global,https://zentry.com/,https://www.linkedin.com/company/zentryhq/,https://twitter.com/GuildFiGlobal,"Invests strategically in Web3, blockchain gaming, NFT, and metaverse projects that can integrate with or provide value to the GuildFi ecosystem.",,
Pantera Capital,VC,"Menlo Park, CA, USA","Seed, Series A, Series B",$1M - $40M,1000000,40000000,Global,https://panteracapital.com,https://www.linkedin.com/company/pantera-capital,https://twitter.com/PanteraCapital,"Leading blockchain investment firm since 2013. First US Bitcoin fund, deep research, industry network.",,
Zee Prime Capital,VC,"Bratislava, Slovakia","Pre-Seed, Seed, Series A, Series B",$1.5M - $3.5M,1500000,3500000,Global (EU focus),https://zeeprime.capital,https://www.linkedin.com/company/zee-prime-capital,https://twitter.com/ZeePrimeCap,"Programmable assets, gaming, infrastructure.",,
Lemniscap,VC,"George Town, Cayman Islands","Pre-Seed, Seed",$250k - $2M,250000,2000000,Global,https://lemniscap.com,https://www.linkedin.com/company/lemniscap,https://twitter.com/Lemniscap,"Thesis-driven, scalable solutions.",,
Big Bang Accelerator,VC,,"Pre-Seed, Seed, Series A",,,,,https://www.bbx.games,https://www.linkedin.com/company/107775445/,,Current focus is on AI-powered / AI-enhanced game and content creators.  Previously invested in Lunacy Games and L*****Game’s ******.ai.,,
Mike Maples,Partner at Floodgate,,"Seed, Series B, Series A",,100000,5000000,"Alto, California",https://floodgate.com/team/mike-maples-jr,https://www.linkedin.com/in/maples/,https://www.twitter.com/m2jr,Games (Seed); Developer Tools (Series B); Developer Tools (Series A); Developer Tools (Seed); Education (Series B); Games (Series B); Education (Series A); Social Networks (Seed); Games (Series A); Enterprise (Series B); Marketplaces (Series B); Education (Seed); Social Networks (Series B); Marketplaces (Series A); SaaS (Series B); Enterprise (Series A); Enterprise (Seed); San Francisco Bay Area; Social Networks (Series A); SaaS (Series A); Marketplaces (Seed); SaaS (Seed),,
James Currier,General Partner at NFX,,"Seed, Pre-seed",,500000,4000000,"Alto, California",https://nfx.com/team/james-currier/,https://www.linkedin.com/in/jamescurrier/,https://www.twitter.com/JamesCurrier,"Messaging (Seed); Games (Seed); SMB Software (Seed); Payments (Seed); Gaming/eSports (Seed); Web3/Blockchain (Seed); AI (Seed); Investors who were founders; Investors who invested in female founders; Israel; Investors who invested in diverse founders; San Francisco Bay Area; Angel, Scout, and Solo-Capitalists; Games (Pre-seed); Messaging (Pre-seed); Gaming/eSports (Pre-seed); Payments (Pre-seed); Web3/Blockchain (Pre-seed); SMB Software (Pre-seed); AI (Pre-seed); Marketplaces (Pre-seed); SaaS (Pre-seed); Generative Tech/AI (Pre-seed); Generative Tech/AI (Seed); Marketplaces (Seed); SaaS (Seed)",,
Adam Rothenberg,Partner at BoxGroup,,"Seed, Series A, Pre-seed",,250000,500000,"York, New York",https://boxgroup.com,https://www.linkedin.com/in/adamrothenberg/,https://www.twitter.com/AdamRothenberg,Parenting/Families (Seed); Local Services (Seed); Messaging (Seed); Games (Seed); Social Commerce (Seed); Developer Tools (Series A); Developer Tools (Seed); Media/Content (Seed); Consumer Health (Series A); Games (Series A); Local Services (Series A); Parenting/Families (Series A); Messaging (Series A); Consumer Health (Seed); Social Commerce (Series A); Media/Content (Series A); Marketplaces (Series A); New York City; Games (Pre-seed); Messaging (Pre-seed); Local Services (Pre-seed); Parenting/Families (Pre-seed); Developer Tools (Pre-seed); Social Commerce (Pre-seed); Media/Content (Pre-seed); Consumer Health (Pre-seed); Marketplaces (Pre-seed); FinTech (Pre-seed); Marketplaces (Seed); FinTech (Series A); FinTech (Seed),,
Gigi Levy-Weiss,General Partner at NFX,,Seed,,500000,5000000,"Aviv, Israel",https://nfx.com/team/gigi-levy-weiss,https://www.linkedin.com/in/gigilevy/,https://www.twitter.com/GigiLevy,"Games (Seed); AR/VR (Seed); Gaming/eSports (Seed); AI (Seed); Investors who invested in female founders; Investors who were founders; Israel; E-commerce (Seed); Investors who invested in diverse founders; Enterprise (Seed); San Francisco Bay Area; Angel, Scout, and Solo-Capitalists; Cybersecurity (Seed); Generative Tech/AI (Seed); SaaS (Seed)",,
Amy Wu,General Partner at Menlo Ventures,,"Seed, Series A",,8000000,15000000,"Francisco, California",https://menlovc.com/,https://www.linkedin.com/in/amytongwu/,https://www.twitter.com/amytongwu,"Games (Seed); Gaming/eSports (Seed); Games (Series A); Gaming/eSports (Series A); Web3/Blockchain (Seed); Web3/Blockchain (Series A); Web3/Crypto (Series A); Web3/Crypto (Seed); Consumer Internet (Seed); San Francisco Bay Area; Angel, Scout, and Solo-Capitalists; Consumer Internet (Series A)",,
Stan Chudnovsky,Venture Partner at NFX,,Seed,,500000,5000000,Francisco Bay Area,https://nfx.com/team/stan-chudnovsky/,https://www.linkedin.com/in/stanchudnovsky/,https://www.twitter.com/stan_chudnovsky,Games (Seed); Payments (Seed); Cloud Infrastructure (Seed); Investors who invested in female founders; Investors who were founders; Investors who invested in diverse founders; Consumer Internet (Seed); San Francisco Bay Area; Future of Work (Seed); Generative Tech/AI (Seed); Marketplaces (Seed); FinTech (Seed),,
Andrew Sheppard,Managing Director at Transcend Fund,,"Seed, Series A, Pre-seed",,200000,5000000,States,https://www.transcend.fund/team,https://www.linkedin.com/in/andrewsheppard/,https://www.twitter.com/andrewsheppard,"Games (Seed); Gaming/eSports (Seed); Real Estate/PropTech (Seed); Media/Content (Seed); Games (Series A); Gaming/eSports (Series A); Real Estate/PropTech (Series A); Media/Content (Series A); Web3/Crypto (Series A); Diverse Investors; Investors who invested in female founders; Investors who were founders; Web3/Crypto (Seed); Investors who invested in diverse founders; Angel, Scout, and Solo-Capitalists; Games (Pre-seed); Gaming/eSports (Pre-seed); Web3/Crypto (Pre-seed); Media/Content (Pre-seed); Real Estate/PropTech (Pre-seed)",,
Kevin Zhang,Partner at Upfront Ventures,,"Seed, Series B, Series A",,750000,5000000,"Angeles, California",https://upfront.com/people/kevin-zhang,https://www.linkedin.com/in/kevinyzhang/,https://www.twitter.com/kevinyzhang?lang=en,AR/VR (Series B); AR/VR (Series A); AgTech (Series B); Local Services (Seed); TransportationTech (Series B); Games (Seed); AR/VR (Seed); AgTech (Series A); Gaming/eSports (Seed); ClimateTech/CleanTech (Series B); TransportationTech (Series A); Entertainment & Sports (Seed); AgTech (Seed); Entertainment & Sports (Series B); Entertainment & Sports (Series A); Media/Content (Seed); TransportationTech (Seed); ClimateTech/CleanTech (Series A); Games (Series B); Games (Series A); Gaming/eSports (Series B); Local Services (Series B); Local Services (Series A); Gaming/eSports (Series A); ClimateTech/CleanTech (Seed); Marketplaces (Series B); Media/Content (Series B); Media/Content (Series A); Marketplaces (Series A); Los Angeles / Southern California; Marketplaces (Seed),,
Ullas Naik,General Partner at Streamlined Ventures,,"Seed, Series B, Series A, Pre-seed",,100000,500000,"Alto, California",https://www.streamlined.vc/our-team,https://www.linkedin.com/in/ullasnaik/,https://www.twitter.com/ullastweets,"Parenting/Families (Seed); Sales & CRM (Seed); Games (Seed); AI (Series B); Developer Tools (Series B); ClimateTech/CleanTech (Series B); Security (Seed); Developer Tools (Series A); Developer Tools (Seed); Cloud Infrastructure (Series B); Cloud Infrastructure (Series A); ClimateTech/CleanTech (Series A); Games (Series B); Games (Series A); IoT (Seed); Cloud Infrastructure (Seed); Parenting/Families (Series A); Parenting/Families (Series B); ClimateTech/CleanTech (Seed); IoT (Series B); Sales & CRM (Series B); Sales & CRM (Series A); Security (Series B); IoT (Series A); Security (Series A); AI (Seed); AI (Series A); Investors who invested in female founders; San Francisco Bay Area; Angel, Scout, and Solo-Capitalists; Games (Pre-seed); Parenting/Families (Pre-seed); Developer Tools (Pre-seed); Security (Pre-seed); IoT (Pre-seed); Sales & CRM (Pre-seed); Cloud Infrastructure (Pre-seed); ClimateTech/CleanTech (Pre-seed); AI (Pre-seed)",,
Sarai Bronfeld,Partner at NFX,,"Seed, Pre-seed",,500000,5000000,"Aviv, Israel",https://www.nfx.com/,https://www.linkedin.com/in/sarai-bronfeld-743602211/?originalSubdomain=il,,Games (Seed); AR/VR (Seed); AgTech (Seed); Food and Beverage (Seed); AI (Seed); Female Investors; Investors who were founders; Investors who invested in female founders; E-commerce (Seed); Israel; Investors who invested in diverse founders; Cybersecurity (Seed); Games (Pre-seed); AgTech (Pre-seed); AR/VR (Pre-seed); Food and Beverage (Pre-seed); Cybersecurity (Pre-seed); E-commerce (Pre-seed); AI (Pre-seed); SaaS (Pre-seed); Generative Tech/AI (Pre-seed); Generative Tech/AI (Seed); SaaS (Seed),,
Shanti Bergel,Managing Director at Transcend Fund,,"Seed, Pre-seed",,500000,3000000,"Francisco, California",https://www.transcend.fund/,https://www.linkedin.com/in/shanti/,https://www.twitter.com/sbergel,Games (Seed); Gaming/eSports (Seed); Entertainment & Sports (Seed); Media/Content (Seed); Social Networks (Seed); Investors who invested in female founders; Investors who were founders; Investors who invested in diverse founders; San Francisco Bay Area; Games (Pre-seed); Gaming/eSports (Pre-seed); Entertainment & Sports (Pre-seed); Media/Content (Pre-seed); Social Networks (Pre-seed); Generative Tech/AI (Pre-seed); Generative Tech/AI (Seed),,
David Jee,Associate at Tuesday Capital,,"Seed, Pre-seed",,250000,250000,"Francisco, California",http://tuesday.vc/,https://www.linkedin.com/in/davidjee/,https://www.twitter.com/davidjee,Games (Seed); Hardware (Seed); Robotics (Seed); Social Networks (Seed); IoT (Seed); Los Angeles / Southern California; Consumer Internet (Seed); Enterprise (Seed); San Francisco Bay Area; Hardware (Pre-seed); Games (Pre-seed); Robotics (Pre-seed); IoT (Pre-seed); Social Networks (Pre-seed); Consumer Internet (Pre-seed); Marketplaces (Pre-seed); Enterprise (Pre-seed); SaaS (Pre-seed); Marketplaces (Seed); SaaS (Seed),,
Eric Hippeau,Managing Partner at Lerer Hippeau,,"Seed, Series A",,100000,3000000,"York, New York",https://lererhippeau.com/team/,https://www.linkedin.com/in/erichippeau/,https://www.twitter.com/erichippeau,Advertising (Series A); Games (Seed); Social Commerce (Seed); Advertising (Seed); Analytics (Series A); Analytics (Seed); Media/Content (Seed); Education (Series A); Social Networks (Seed); Games (Series A); Education (Seed); Social Commerce (Series A); Media/Content (Series A); New York City; Social Networks (Series A),,
Chamath Palihapitiya,Managing Partner at Social Capital,,"Seed, Series B, Series A",,2000000,15000000,Francisco Bay Area,https://www.socialcapital.com/,https://www.linkedin.com/in/chamath/,https://www.twitter.com/chamath,"Advertising (Series B); Advertising (Series A); Games (Seed); Advertising (Seed); AI (Series B); Education (Series B); Media/Content (Seed); Games (Series B); Education (Series A); Games (Series A); Consumer Internet (Series B); Education (Seed); Media/Content (Series B); Media/Content (Series A); AI (Seed); FinTech (Series B); AI (Series A); Health IT (Series A); Consumer Internet (Seed); San Francisco Bay Area; Angel, Scout, and Solo-Capitalists; Digital Health (Series B); Consumer Internet (Series A); Health IT (Seed); FinTech (Series A); Health IT (Series B); Digital Health (Series A); Digital Health (Seed); FinTech (Seed)",,
Ron Conway,Managing Partner at SV Angel,,"Seed, Series A",,25000,100000,"Francisco, California",https://svangel.com/team/,,https://www.twitter.com/RonConway,"Games (Seed); Retail (Seed); Games (Series A); E-commerce (Series A); Retail (Series A); Marketplaces (Series A); E-commerce (Seed); Enterprise (Series A); Enterprise (Seed); San Francisco Bay Area; Angel, Scout, and Solo-Capitalists; SaaS (Series A); Marketplaces (Seed); SaaS (Seed)",,
Adam Draper,Managing Director at Boost VC,,"Seed, Pre-seed",,500000,7000000,,https://boost.vc/team,https://www.linkedin.com/in/adraper/,https://www.twitter.com/adamdraper,"Fashion (Seed); Games (Seed); Advertising (Seed); Retail (Seed); Gaming/eSports (Seed); Food and Beverage (Seed); BioTech (Seed); E-commerce (Seed); Consumer Internet (Seed); San Francisco Bay Area; Angel, Scout, and Solo-Capitalists; Fashion (Pre-seed); Advertising (Pre-seed); Games (Pre-seed); Retail (Pre-seed); Food and Beverage (Pre-seed); Gaming/eSports (Pre-seed); E-commerce (Pre-seed); BioTech (Pre-seed); Consumer Internet (Pre-seed); Marketplaces (Pre-seed); Marketplaces (Seed)",,
Joe Medved,Partner at Lerer Hippeau,,"Seed, Series A",,100000,3000000,"York, New York",https://lererhippeau.com/team/,https://www.linkedin.com/in/joemedved/,https://www.twitter.com/joevc,Advertising (Series A); Games (Seed); Advertising (Seed); Media/Content (Seed); Education (Series A); Social Networks (Seed); Games (Series A); E-commerce (Series A); Education (Seed); Media/Content (Series A); E-commerce (Seed); New York City; Social Networks (Series A),,
Aaron Batalion,Angel at Batalion Capital,,Seed,,20000,100000,Francisco Bay Area,https://aaronbatalion.com/,https://www.linkedin.com/in/aaronbatalion/,https://www.twitter.com/abatalion,Games (Seed); Social Commerce (Seed); Advertising (Seed); Hardware (Seed); Social Networks (Seed); Web3/Crypto (Seed); E-commerce (Seed); Consumer Internet (Seed); San Francisco Bay Area; SaaS (Seed); Enterprise (Seed),,
Moritz Baier-Lentz,Partner at Lightspeed Venture Partners,,"Seed, Series B, Series A",,2000000,50000000,"Angeles, California",https://gaming.lsvp.com,https://www.linkedin.com/in/moritzbaierlentz/,,"AR/VR (Series B); AR/VR (Series A); Games (Seed); Web3/Blockchain (Series B); AR/VR (Seed); Hardware (Seed); AI (Series B); Gaming/eSports (Seed); Games (Series B); Social Networks (Seed); Games (Series A); Hardware (Series B); Gaming/eSports (Series B); Consumer Internet (Series B); Hardware (Series A); Gaming/eSports (Series A); Web3/Blockchain (Seed); Web3/Blockchain (Series A); Social Networks (Series B); AI (Seed); AI (Series A); Investors who were founders; Investors who invested in female founders; Investors who invested in diverse founders; Los Angeles / Southern California; Consumer Internet (Seed); Angel, Scout, and Solo-Capitalists; Creator/Passion Economy (Series A); Creator/Passion Economy (Seed); Creator/Passion Economy (Series B); Generative Tech/AI (Seed); Generative Tech/AI (Series A); Generative Tech/AI (Series B); Social Networks (Series A); Consumer Internet (Series A)",,
Phil Sanderson,Managing Director at Griffin Gaming Partners,,"Seed, Series A",,100000,10000000,"Francisco, California",https://griffingp.com/team/,https://www.linkedin.com/in/sfvc1/,https://www.twitter.com/SanFranciscoVC,Games (Seed); SMB Software (Seed); Gaming/eSports (Seed); Games (Series A); Gaming/eSports (Series A); SMB Software (Series A); Health IT (Series A); Los Angeles / Southern California; Consumer Internet (Seed); Health & Hospital Services (Series A); San Francisco Bay Area; Consumer Internet (Series A); Health IT (Seed); Digital Health (Series A); Digital Health (Seed); Health & Hospital Services (Seed),,
Darian Shirazi,General Partner at Gradient Ventures,,"Seed, Series B, Series A, Pre-seed",,100000,8000000,Francisco Bay Area,https://gradient.com/profile/darian-shirazi/,https://www.linkedin.com/in/darian314/,https://www.twitter.com/darian314,"Local Services (Seed); Travel (Seed); Games (Seed); AI (Series B); Games (Series B); Social Networks (Seed); Games (Series A); Consumer Internet (Series B); Local Services (Series B); Local Services (Series A); Enterprise (Series B); Travel (Series B); Travel (Series A); Social Networks (Series B); AI (Seed); Space (Series A); Space (Series B); Space (Seed); AI (Series A); SaaS (Series B); Enterprise (Series A); Consumer Internet (Seed); San Francisco Bay Area; Angel, Scout, and Solo-Capitalists; Games (Pre-seed); Local Services (Pre-seed); Travel (Pre-seed); Space (Pre-seed); Social Networks (Pre-seed); AI (Pre-seed); Consumer Internet (Pre-seed); Enterprise (Pre-seed); SaaS (Pre-seed); Social Networks (Series A); SaaS (Series A); Consumer Internet (Series A); SaaS (Seed); Enterprise (Seed)",,
Jonathan Lai,General Partner at Andreessen Horowitz,,"Seed, Series B, Series A",,500000,40000000,"Park, California",https://www.jonlai.co/,https://www.linkedin.com/in/jlai84/,https://www.twitter.com/tocelot,"Games (Seed); Web3/Blockchain (Series B); Social Commerce (Seed); Web3/Crypto (Series B); Gaming/eSports (Seed); Games (Series B); Games (Series A); Gaming/eSports (Series B); Consumer Internet (Series B); Gaming/eSports (Series A); Web3/Blockchain (Seed); Web3/Blockchain (Series A); Social Commerce (Series B); Social Commerce (Series A); Web3/Crypto (Series A); Web3/Crypto (Seed); Consumer Internet (Seed); San Francisco Bay Area; Angel, Scout, and Solo-Capitalists; Consumer Internet (Series A)",,
Seth Berman,General Partner at Susa Ventures,,"Seed, Pre-seed",,1000000,1500000,"Francisco, California",https://susaventures.com/,https://www.linkedin.com/in/sethgberman/,https://www.twitter.com/sethgb?lang=en,Games (Seed); Social Commerce (Seed); Advertising (Seed); Hardware (Seed); Media/Content (Seed); Cloud Infrastructure (Seed); AI (Seed); E-commerce (Seed); Los Angeles / Southern California; San Francisco Bay Area; Advertising (Pre-seed); Hardware (Pre-seed); Games (Pre-seed); Social Commerce (Pre-seed); Media/Content (Pre-seed); Cloud Infrastructure (Pre-seed); E-commerce (Pre-seed); AI (Pre-seed); Marketplaces (Pre-seed); SaaS (Pre-seed); Marketplaces (Seed); SaaS (Seed),,
Nick Tuosto,Managing Director at Griffin Gaming Partners,,"Seed, Series A",,100000,10000000,"Francisco, California",https://griffingp.com/team/,https://www.linkedin.com/in/nicholas-tuosto-12b696/,https://www.twitter.com/ntuosto,Games (Seed); Gaming/eSports (Seed); Games (Series A); Gaming/eSports (Series A); Los Angeles / Southern California; San Francisco Bay Area; FinTech (Series A); FinTech (Seed),,
Malte Barth,General Partner at BITKRAFT Ventures,,"Seed, Series B, Series A, Pre-seed",,2000000,5000000,Kingdom,https://www.bitkraft.vc/people/,https://www.linkedin.com/in/maltebarth/,https://www.twitter.com/mabarth,Analytics (Series B); Games (Seed); Analytics (Series A); AI (Series B); Developer Tools (Series B); Developer Tools (Series A); Gaming/eSports (Seed); Developer Tools (Seed); Data Services (Series B); Analytics (Seed); E-commerce (Series B); Games (Series B); Data Services (Seed); Social Networks (Seed); Games (Series A); E-commerce (Series A); Gaming/eSports (Series B); Consumer Internet (Series B); Gaming/eSports (Series A); Data Services (Series A); Social Networks (Series B); AI (Seed); AI (Series A); E-commerce (Seed); Consumer Internet (Seed); Analytics (Pre-seed); Games (Pre-seed); Gaming/eSports (Pre-seed); Data Services (Pre-seed); Developer Tools (Pre-seed); Social Networks (Pre-seed); E-commerce (Pre-seed); AI (Pre-seed); Consumer Internet (Pre-seed); Social Networks (Series A); Consumer Internet (Series A),,
Jason Yeh,General Partner at Patron,,"Seed, Series A, Pre-seed",,750000,4000000,"Angeles, California",https://patron.fund,https://www.linkedin.com/in/jasonoliveryeh/,https://www.twitter.com/jasonoliver,Gaming/eSports (Seed); Gaming/eSports (Series A); Diverse Investors; Investors who were founders; Investors who invested in female founders; Los Angeles / Southern California; Consumer Internet (Seed); San Francisco Bay Area; London; Gaming/eSports (Pre-seed); Consumer Internet (Pre-seed); Consumer Internet (Series A); Games (Seed); Games (Series A); Games (Pre-seed),,
